carelessness ,/n./@粗心;,/n./@大意;
transvestite ,/adj./@異裝癖的;,/n./@異裝癖者;
appendectomy ,/n./@闌尾切除手術;
narcissistic ,/adj./@孤芳自赏的;
participancy ,/n./@参与;,/n./@分享;
particularly ,/adv./@特别;
anthropology ,/n./@人類學;
catastrophic ,/adj./@灾难性的;
asynchronous ,/adj./@异步的;,/adj./@不同时的;
translucence ,/n./@半透明;
nevertheless ,/conj./@尽管如此;
entanglement ,/n./@纠纷;
entreprenant ,/adj./@大胆的;,/adj./@有上进心的;
sledgehammer ,/n./@大錘;
estrangement ,/n./@疏離;,/n./@疏遠;,/n./@隔閡;
Pennsylvania ,/n./@宾夕法尼亚州;
hyperrealism ,/n./@超級寫實主義;
hyperreality ,/n./@超級寫實;
embarrassing ,/adj./@令人尴尬的;
mechanically ,/adv./@机械的;
metaphysical ,/adj./@形而上学的;,/adj./@超自然的;,/adj./@玄学的;,/adj./@抽象的;
reassignment ,/n./@再分配;,/n./@再指派;,/n./@再指定;,/n./@重新分配;
presentiment ,/n./@預感;
welldesigned ,/adj./@设计良好的;
Gemeinschaft ,/n./@社區;,/n./@團體;,/n./@社團;,/n./@集體;
Presbyterian ,/adj./@長老會教會的;,/adj./@長老會的;,/n./@長老會教徒;
gerontocracy ,/n./@老人政治;,/n./@老人政府;
encroachment ,/n./@侵犯;,/n./@蚕食;
demographics ,/n./@人口统计资料;
technologist ,/n./@技術專家;,/n./@技術人員;,/n./@工藝學家;
incandescent ,/adj./@熾熱的;,/adj./@耀眼的;,/adj./@白熱的;,/adj./@輝煌的;
intransigent ,/adj./@不妥协的;
inflammatory ,/adj./@发炎的;
indebtedness ,/n./@感激;
infringement ,/n./@侵權;
intermittent ,/adj./@間歇的;,/adj./@時斷時續的;,/adj./@斷斷續續的;,/adj./@一陣陣的;
dissemblance ,/n./@偽裝;
kindergarten ,/n./@幼兒園;
interstellar ,/adj./@星際的;
hieroglyphic ,/n./@象形文字;,/adj./@象形文字的;
misogynistic ,/adj./@厭女的;,/adj./@厭惡女人的;
inconsistent ,/adj./@不一致的;
circumstance ,/n./@环境;,/n./@情况;,/n./@境遇;,/n./@事件;
circumcentre ,/n./@外心;
circumscribe ,/v./@限制;
orthographic ,/adj./@拼寫的;
sporadically ,/adv./@零星地;,/adv./@偶發的;
togetherness ,/n./@團結友愛;,/n./@和睦相處;,/n./@親密無間;
commonwealth ,/n./@共和国;
conservatory ,/n./@溫室;,/adj./@有保存力的;,/n./@音樂學校;
contemporary ,/adj./@现代的;
bloodletting ,/n./@放血疗法;
contemptible ,/adj./@可鄙的;
conveniently ,/adv./@方便的;
overwhelming ,/adj./@壓倒性的;
hypoglycemia ,/redirected./@target="hypoglycaemia";
hypothetical ,/adj./@假设的;,/adj./@假言的;
consequently ,/adv./@因此;
conscription ,/n./@徵兵;
possiblility ,/n./@可能性;
hypochlorous ,/adj./@次氯化的;
posthumously ,/adv./@死後地;,/adv./@在死後;
construction ,/n./@建造;,/n./@建筑;
quasicrystal ,/n./@準晶體;
subsequently ,/adv./@隨後;,/adv./@其後;,/adv./@接著;
underperform ,/vi./@表現不佳;,/vi./@表現平平;,/vi./@表現不達標;,/vi./@表現欠佳;,/vt./@表現低於;,/vt./@表現遜於;,/vt./@表現不如;
unemployment ,/n./@失业;
subscription ,/n./@订阅;
surroundings ,/n./@周遭;
subcontinent ,/n./@次大陸;
