accelerate ,/v./@加速;,/v./@促进;,/v./@增速;
amalgamate ,/v./@合併;
appearance ,/n./@出现;,/n./@容貌;
abbreviate ,/v./@縮略;
adrenaline ,/n./@肾上腺素;
allegiance ,/n./@忠誠;
appreciate ,/v./@感激;,/v./@感谢;
paraplegia ,/n./@半身不遂;,/n./@下身麻痺;,/n./@截癱;
aberration ,/n./@失常;,/n./@畸變;,/n./@錯位;,/n./@失焦;
allegation ,/n./@主张;,/n./@断言;
abstemious ,/adj./@有節制的;
paedophile ,/n./@恋童癖者;
praetorium ,/n./@总督府;,/n./@官邸;
amateurish ,/adj./@外行的;,/adj./@業餘的;,/adj./@不熟練的;
Parisienne ,/n./@巴黎女子;,/n./@巴黎女孩;,/adj./@巴黎的;,/adj./@巴黎人的;,/adj./@巴黎式的;
capacities ,/n./@能力;
facilitate ,/v./@使便利;,/v./@使容易;
affiliated ,/adj./@附属的;
annihilate ,/v./@殲滅;
anticipate ,/v./@预期;
assimilate ,/vt./@同化;,/vt./@吸收;,/vt./@融入;,/vt./@消化吸收;,/vi./@被吸收;,/vi./@被同化;
activation ,/n./@激活;
additional ,/adj./@附加的;,/adj./@增加的;
antibiotic ,/adj./@抗生的;,/n./@抗生素;
navigation ,/n./@航行;,/n./@航海;
pagination ,/n./@分页;
apparition ,/n./@鬼魂;,/n./@幽靈;,/n./@幻影;,/n./@幻象;,/n./@異象;
sanitation ,/n./@公共卫生;
aspiration ,/n./@愿望;,/n./@志向;
validation ,/n./@確認;,/n./@批准;,/n./@生效;
charioteer ,/n./@双轮战车驾驭者;
passionate ,/adj./@热烈的;
radiosonde ,/n./@無線電高空測候器;,/n./@無線電探空儀;
capricious ,/adj./@善變的;,/adj./@任性的;,/adj./@突发奇想的;
capitulate ,/vi./@投降;
manipulate ,/v./@操纵;,/v./@操作;,/v./@摆布;,/vt./@篡改;
antiquated ,/adj./@過時的;
articulate ,/v./@明确表达;,/vt./@清晰地表達;,/adj./@表達清晰的;,/adj./@善於表達的;
abrogation ,/n./@廢除;,/n./@取消;
allocation ,/n./@分配;
annotation ,/n./@注释;,/n./@註解;,/n./@釋文;
abominable ,/adj./@可惡的;,/adj./@可憎的;,/adj./@討厭的;
antagonize ,/v./@激怒;
harmonious ,/adj./@和諧的;,/adj./@協調的;,/adj./@調和的;,/adj./@和聲的;,/adj./@悅耳的;
glamourous ,/adj./@迷人的;,/adj./@有魅力的;
accumulate ,/n./@堆积;
adulterate ,/v./@摻雜;
masquerade ,/n./@化妆;,/n./@伪装;,/n./@化妆舞会;
auscultate ,/v./@听诊;,/v./@听诊;
accusative ,/adj./@賓格的;,/n./@賓格;
traumatize ,/vt./@損傷;,/vt./@使受精神創傷;
accusation ,/n./@控告;
ammunition ,/n./@弹药;
salutation ,/n./@問候;,/n./@稱呼;,/n./@招呼;,/n./@稱謂;
saturation ,/n./@飽和;,/n./@浸泡;,/n./@饱和度;
autocratic ,/adj./@獨裁的;
decelerate ,/v./@减速;
degenerate ,/vi./@惡化;,/vi./@墮落;,/vi./@衰退;,/vi./@變壞;,/vi./@退化;
exacerbate ,/v./@加重;,/v./@恶化;
exaggerate ,/v./@夸大;
exasperate ,/v./@激怒;,/v./@惡化;
decapitate ,/vt./@斬首;
deactivate ,/v./@停用;,/v./@遣散;
desalinate ,/v./@脫鹽;,/v./@淡化;
repatriate ,/v./@遣返;
evangelize ,/vt./@宣講福音;
defecation ,/n./@排便;
