,as,well,as,并且;
,are,you,kidding,你在开玩笑吗;
,a,long,time,很长一段时间;
,a,lot,of,许多的;
,for,sake,of,爲了;
,get,rid,of,摆脱;
,in,love,with,爱上;
,in,charge,of,管理;
,in,order,to,爲了;
,in,term,of,按照;
,in,terms,of,按照;
,in,your,opinion,依你所見;
,point,of,view,觀點;
,pros,and,cons,利与弊;
,take,care,of,照顾;
,watch,out,for,留意;
,when,pigs,fly,是不可能的;
,see,about,that,走着瞧;
,hook,up,with,联系;
,add,up,to,合计达;
,hark,back,to,回忆起;
,fall,back,on,求助于;
,out,of,whack,不正常;
,ups,and,downs,沈浮;
,also,known,as,亦稱;
,give,or,take,至多相差;
,first,and,foremost,首先;
,all,in,all,總的說來;
,magnetic,tape,cartridge,磁帶盒;
,record,player,cartridge,針匣;
,crack,sb.'s,knuckles,使sb.的指關節噼啪作響;
,in,case,of,在...情况下;
,in,advance,of,在...之前;
