backslash ,/n./@反斜杠;
craftsman ,/n./@工匠;,/n./@技工;,/n./@工藝師;
flashback ,/n./@闪回;,/n./@倒叙;
carpentry ,/n./@木匠活;
parchment ,/n./@羊皮紙;
apprently ,/adv./@明显地;
sharpness ,/n./@鋒利;,/n./@銳利;,/n./@敏銳;,/n./@鮮明;,/n./@清晰;,/n./@急劇;,/n./@敏捷;,/n./@精明;,/n./@苛刻;,/n./@嚴厲;
transcend ,/v./@超越;,/v./@戰勝;,/vt./@勝過;,/vt./@優於;
blacklist ,/n./@黑名單;
gymnastic ,/adj./@體操的;,/adj./@體育的;
labyrinth ,/n./@迷宫;
syntactic ,/adj./@句法的;
dragonfly ,/n./@蜻蜓;
martyrdom ,/n./@殉難;,/n./@殉教;,/n./@折磨;,/n./@受難;
transform ,/v./@转换;,/v./@改观;
transport ,/v./@运输;
transpond ,/v./@轉發;
dachshund ,/n./@臘腸狗;,/n./@達克斯獵狗;
dysentery ,/n./@痢疾;
expressly ,/adv./@清楚地;,/adv./@明顯的;
benchmark ,/n./@基准;,/n./@标准检查程序;
newsstand ,/n./@報攤;,/n./@雜誌攤;
pregnancy ,/n./@懷孕;
chemistry ,/n./@化学;
jellyfish ,/n./@水母;
synthesis ,/n./@綜合;,/n./@合成;
synthetic ,/adj./@合成的;,/adj./@人造的;,/adj./@綜合的;
trembling ,/adj./@发抖的;
threshold ,/n./@门槛;
stressful ,/adj./@紧张的;
highlight ,/n./@高亮;,/n./@强调;
hindsight ,/n./@事後聰明;,/n./@事後的認識;,/n./@後見之明;
lightning ,/n./@閃電;
mysticism ,/n./@神祕主義;,/n./@玄想;,/n./@通靈;
whirlwind ,/n./@旋风;
brillancy ,/n./@明亮;,/n./@亮度;
flippancy ,/n./@轻率;,/n./@轻率无礼;
withstand ,/v./@抵挡;,/v./@反抗;
thickness ,/n./@厚;,/n./@厚度;,/n./@濃;
bimonthly ,/n./@双月刊;
diphthong ,/n./@雙元音;,/n./@二合元音;
clockwork ,/n./@發條裝置;,/n./@鐘錶的機械;
crossword ,/n./@纵横字谜;
cyclotron ,/n./@迴旋加速器;
mythology ,/n./@神話;,/n./@神話學;,/n./@神話集;
phytology ,/n./@植物学;
polygraph ,/n./@測謊儀;,/n./@測謊機;
chopstick ,/n./@筷子;
conscript ,/n./@應徵士兵;,/adj./@被徵召的;,/v./@徵召;
copyright ,/n./@版权;
fortnight ,/n./@兩星期;,/n./@十四日;
hypocrisy ,/n./@虛僞;,/n./@僞善;
spotlight ,/n./@聚光燈;,/v./@聚光;
construct ,/v./@建筑;
butterfly ,/n./@蝴蝶;
currently ,/adv./@目前;
subscript ,/adj./@下標的;,/n./@下標;
