abbreviation ,/n./@縮寫;
abolitionism ,/n./@廢除主義;,/n./@廢除黑奴主義;
academically ,/adv./@学术地;
acceleration ,/n./@加速;,/n./@促进;
accumulation ,/n./@积累;
acquaintance ,/n./@相识;,/n./@熟人;
acquiescence ,/n./@默许;,/n./@默从;
administrate ,/v./@管理;
advantageous ,/adj./@有利的;
adventitious ,/adj./@外來的;,/adj./@後天的;
agricultural ,/adj./@农业的;
alphabetical ,/adj./@字母的;,/adj./@字母表的;,/adj./@按字母順序的;
amalgamation ,/n./@合併;,/n./@混合;
ambidextrous ,/adj./@两手都善用的;
amphitheater ,/redirected./@target="amphitheatre";
amphitheatre ,/n./@圓形劇場;,/n./@競技場;
annihilation ,/n./@殲滅;
announcement ,/n./@宣布;
antediluvian ,/adj./@古老的;
anthropology ,/n./@人類學;
anticipation ,/n./@期望;,/n./@预感;
antithetical ,/adj./@對立的;
appendectomy ,/n./@闌尾切除手術;
appendicitis ,/n./@闌尾炎;,/n./@盲腸炎;
appreciation ,/n./@欣赏;
apprehension ,/n./@憂慮;
architecture ,/n./@架构;
asphyxiation ,/n./@窒息;
assassinator ,/n./@刺客;
astronomical ,/adj./@天文學的;,/adj./@天文的;,/adj./@龐大的;
astrophysics ,/n./@天體物理學;
asynchronous ,/adj./@异步的;,/adj./@不同时的;
auscultation ,/n./@听诊;
authenticate ,/v./@鑒定;,/v./@證明;,/vt./@證實;
authenticity ,/n./@真实性;,/n./@可靠性;,/n./@可信賴性;
belligerence ,/n./@好戰性;,/n./@好鬥性;,/n./@交戰狀態;
bloodletting ,/n./@放血疗法;
bureaucratic ,/adj./@官僚主義的;
cancellation ,/n./@刪除;,/n./@取消;
canonicalize ,/v./@規範化;
cantankerous ,/adj./@脾氣壞的;,/adj./@難相處的;
carelessness ,/n./@粗心;,/n./@大意;
catastrophic ,/adj./@灾难性的;
cheeseburger ,/n./@奶酪汉堡包;,/n./@起司漢堡;
circumcentre ,/n./@外心;
circumscribe ,/v./@限制;
circumstance ,/n./@环境;,/n./@情况;,/n./@境遇;,/n./@事件;
civilization ,/n./@文明;
codification ,/n./@法典編纂;,/n./@編纂法典;,/n./@法律彙編;
cohabitation ,/n./@同居;
colonization ,/n./@殖民;,/n./@定植;,/n./@定殖;
commensurate ,/adj./@相稱的;,/adj./@同量的;
commonwealth ,/n./@共和国;
compensation ,/n./@補償;,/n./@彌補;,/n./@賠償;,/n./@賠償金;,/n./@補償金;,/n./@報酬;
complication ,/n./@复杂;,/n./@复杂化;
conciliatory ,/adj./@安撫的;,/adj./@和解的;,/adj./@调解的;
condemnation ,/n./@譴責;,/n./@判決;
confidential ,/adj./@機密的;
confirmation ,/n./@确认;,/n./@证实;,/n./@巩固;
conglomerate ,/n./@礫岩;,/n./@企業集團;,/n./@聚合物;
congratulate ,/v./@祝贺;
congregation ,/n./@聚集;,/n./@会众;
conscription ,/n./@徵兵;
consequently ,/adv./@因此;
conservation ,/n./@保护;,/n./@保护区;
conservative ,/adj./@保守的;
conservatory ,/n./@溫室;,/adj./@有保存力的;,/n./@音樂學校;
considerable ,/adj./@相當大的;,/adj./@可觀的;
consolidated ,/adj./@加固的;,/adj./@统一的;
constipation ,/n./@便秘;,/n./@限制;
constitution ,/n./@憲法;,/n./@體制;
construction ,/n./@建造;,/n./@建筑;
consultation ,/n./@諮詢;,/n./@商議;,/n./@商討;,/n./@商討會;,/n./@會診;,/n./@參閱;
consummation ,/n./@完婚;,/n./@圓房;,/n./@完成;
contemporary ,/adj./@现代的;
contemptible ,/adj./@可鄙的;
contribution ,/n./@贡献;
contumacious ,/adj./@不妥協的;
conveniently ,/adv./@方便的;
conversation ,/n./@交談;,/n./@會話;
correctional ,/adj./@改造的;,/adj./@改正的;,/adj./@劳改的;
cosmopolitan ,/adj./@全球的;,/adj./@国际的;,/n./@大都市;
covetousness ,/n./@貪婪;,/n./@貪心;,/n./@妄羡;
degeneration ,/n./@退化;
degenerative ,/adj./@退化的;,/adj./@退化性的;,/adj./@變性的;,/adj./@變質的;,/adj./@衰退的;,/adj./@墮落的;,/adj./@變態的;
deliberately ,/adv./@故意的;,/adv./@慎重地;
deliberation ,/n./@慎重;,/n./@故意;
demographics ,/n./@人口统计资料;
denomination ,/n./@名称;,/n./@教派;,/n./@面额;
destigmatize ,/vt./@去污名化;
detoxication ,/redirected./@target="detoxification";
disadvantage ,/n./@不利;
disagreement ,/n./@争执;,/n./@不符;
disconsolate ,/adj./@憂鬱的;,/adj./@鬱鬱不樂的;
discriminate ,/vt./@歧視;,/vt./@辨別;,/vt./@區別;,/vi./@辨別;
disingenuous ,/adj./@不誠實的;,/adj./@不坦率的;,/adj./@虛偽的;
dispensation ,/n./@分配;,/n./@特許;,/n./@天命;,/n./@天意;,/n./@神意;
dissemblance ,/n./@偽裝;
distillation ,/n./@蒸餾;
distribution ,/n./@分布;,/n./@分配;
dodecahedron ,/n./@十二面体;
electroplate ,/vt./@電鍍;,/n./@電鍍品;
emancipation ,/n./@解放;
embarrassing ,/adj./@令人尴尬的;
encroachment ,/n./@侵犯;,/n./@蚕食;
entanglement ,/n./@纠纷;
enthusiastic ,/adj./@热情的;
entreprenant ,/adj./@大胆的;,/adj./@有上进心的;
entrepreneur ,/n./@创业者;
epexegetical ,/adj./@附加說明性的;
epistemology ,/n./@認識論;
estrangement ,/n./@疏離;,/n./@疏遠;,/n./@隔閡;
etymological ,/adj./@詞源的;,/adj./@詞源學的;
evangelistic ,/adj./@傳福音的;,/adj./@福音傳播者的;
evolutionist ,/n./@進化論者;,/adj./@進化的;,/adj./@進化論的;,/adj./@進化論者的;
exaggeration ,/n./@夸大;,/n./@夸张;
exasperation ,/n./@憤怒;,/n./@惡化;
excruciating ,/adj./@難以忍受的;,/adj./@極痛苦的;
experimental ,/adj./@实验性的;
exploitation ,/n./@開發;,/n./@利用;,/n./@開採;,/n./@剝削;
extravagance ,/n./@奢侈;,/n./@浪費;
Gemeinschaft ,/n./@社區;,/n./@團體;,/n./@社團;,/n./@集體;
geometrician ,/n./@幾何學家;
geopolitical ,/adj./@地緣政治的;,/adj./@地緣政治學的;
gerontocracy ,/n./@老人政治;,/n./@老人政府;
Gesellschaft ,/n./@社會;,/n./@團體;,/n./@社團;,/n./@協會;,/n./@聚會;,/n./@集會;,/n./@組織;,/n./@機構;
gobbledegook ,/n./@官腔;,/n./@官樣文章;,/n./@冗長費解的話;
hallucinogen ,/n./@迷幻劑;,/n./@致幻剂;
heterosexual ,/adj./@異性的;,/adj./@異性戀的;
hieroglyphic ,/n./@象形文字;,/adj./@象形文字的;
housewarming ,/n./@乔迁庆宴;
humanitarian ,/n./@人道主義者;,/adj./@人道主義的;
hyperrealism ,/n./@超級寫實主義;
hyperreality ,/n./@超級寫實;
hypochlorous ,/adj./@次氯化的;
hypoglycemia ,/redirected./@target="hypoglycaemia";
hypothetical ,/adj./@假设的;,/adj./@假言的;
illumination ,/n./@照明;,/n./@启发;
illustration ,/n./@阐明;,/n./@图示;
illustrative ,/adj./@說明的;
inaccessible ,/adj./@很难得到的;
inauguration ,/n./@就职;,/n./@就职仪式;,/n./@开幕式;,/n./@开端;
incandescent ,/adj./@熾熱的;,/adj./@耀眼的;,/adj./@白熱的;,/adj./@輝煌的;
incompatible ,/adj./@不相容的;
incompetence ,/n./@不胜任;
inconsistent ,/adj./@不一致的;
indebtedness ,/n./@感激;
indefinitely ,/adv./@無限期地;
independence ,/n./@独立;,/n./@独立性;
indifference ,/n./@冷淡;,/n./@不关心;
individually ,/adv./@个人的;
inexplicable ,/adj./@莫名其妙的;,/adj./@无法解释的;,/adj./@無法說明的;,/adj./@難以解释的;
infiltration ,/n./@渗透;
inflammation ,/n./@炎症;,/n./@發炎;
inflammatory ,/adj./@发炎的;
infringement ,/n./@侵權;
installation ,/n./@安裝;
insufficient ,/adj./@不足的;
insurrection ,/n./@叛乱;,/n./@起义;,/n./@暴動;
intellectual ,/adj./@智力的;,/adj./@智慧的;
intelligence ,/n./@智慧;
intelligible ,/adj./@可理解的;,/adj./@明瞭的;,/adj./@清晰易懂的;,/adj./@明白易懂的;
intermediary ,/n./@调解人;
intermediate ,/adj./@中间的;
intermission ,/n./@幕間休息;,/n./@暫停;,/n./@中斷;
intermittent ,/adj./@間歇的;,/adj./@時斷時續的;,/adj./@斷斷續續的;,/adj./@一陣陣的;
interpretive ,/redirected./@target="interpretative";
intersection ,/n./@交集;,/n./@交点;,/n./@十字路口;,/n./@相交;,/n./@交叉;,/n./@交叉點;,/n./@道路交叉口;
interstellar ,/adj./@星際的;
intervention ,/n./@介入;,/n./@調停;,/n./@干涉;
