archaeologist ,/n./@考古學家;
manifestation ,/n./@表明;,/n./@表现;,/n./@表现形式;
magnification ,/n./@放大;,/n./@放大率;
participation ,/n./@参与;,/n./@分享;,/n./@参股;
assassination ,/n./@刺杀;
sanctimonious ,/adj./@假裝聖潔的;,/adj./@假裝虔誠的;,/adj./@假裝誠實的;
accommodation ,/n./@膳宿;,/n./@调节;
Transcaucasia ,/n./@外高加索;
accquaintance ,/n./@相识;,/n./@熟人;
hallucination ,/n./@幻覺;,/n./@妄想;,/n./@錯覺;
autobiography ,/n./@自传;
automatically ,/adv./@自動地;
reverberation ,/n./@回響;,/n./@餘聲;,/n./@後果;
Mediterranean ,/adj./@地中的;
certification ,/n./@证明;,/n./@鉴定;,/n./@保证;
determination ,/n./@决心;
precipitation ,/n./@沉澱;,/n./@降水;,/n./@急躁;,/n./@魯莽;
regimentation ,/n./@严格控制;,/n./@严密管制;
sedimentation ,/n./@沉澱;,/n./@沉積;,/n./@沉降;
specification ,/n./@规格;,/n./@说明书;,/n./@详述;
extermination ,/n./@消灭;,/n./@灭绝;
seismological ,/adj./@地震学的;
neighbourhood ,/n./@街坊;,/n./@邻近地区;
decomposition ,/n./@腐爛;,/n./@分解;
meteorologist ,/n./@氣象學家;,/n./@氣象學者;
prepositional ,/adj./@介詞的;,/adj./@前置詞的;
incarceration ,/n./@監禁;
instantaneous ,/adj./@瞬间的;,/adj./@即時的;,/adj./@瞬時的;
inspirational ,/adj./@鼓舞人心的;,/adj./@激发灵感的;
inappropriate ,/adj./@不合适的;
international ,/adj./@国际的;
investigation ,/n./@调查;
miscellaneous ,/adj./@混雜的;,/adj./@各種各樣的;
interrogation ,/n./@讯问;,/n./@审问;
interpolation ,/n./@插入;,/n./@篡改;,/n./@填寫;,/n./@插话;,/n./@插補;
incorporation ,/n./@公司;,/n./@合倂;
inconceivable ,/adj./@不可思議的;,/adj./@難以置信的;
industrialize ,/v./@工业化;
disfiguration ,/n./@毁容;,/n./@畸形;
intuitiveness ,/n./@直觀性;
concatenation ,/n./@連結;,/n./@串聯;
ornamentation ,/n./@裝飾;
collaboration ,/n./@合作;,/n./@勾结;,/n./@通敌;
globalization ,/n./@全球化;
holoportation ,/n./@全息傳送;
compassionate ,/adj./@有同情心的;
consideration ,/n./@考慮;,/n./@照顧;
conscientious ,/adj./@勤勤懇懇的;,/adj./@良心的;,/adj./@煞費苦心的;
configuration ,/n./@配置;,/n./@结构;
documentation ,/n./@文档;,/n./@文献;,/n./@文件;,/n./@资料;
communication ,/n./@交流;
pronunciation ,/n./@發音;,/n./@讀法;,/n./@讀音;
unsatisfiable ,/adj./@不可滿足的;
vulgarisation ,/n./@通俗化;,/n./@粗俗化;
superannuated ,/adj./@過時的;,/adj./@老朽的;
underestimate ,/v./@低估;
surreptitious ,/adj./@祕密的;,/adj./@偷偷摸摸的;,/adj./@鬼鬼祟祟的;
justification ,/n./@正当性;
unconditional ,/adj./@无条件的;
subordination ,/n./@从属;,/n./@顺从;
