chronologically ,/adv./@按时间先后排序的;
confidentiality ,/n./@機密;,/n./@機密性;
contemporaneous ,/adj./@同時存在的;,/adj./@同時發生的;,/adj./@同時期的;
democratization ,/n./@民主化;
dichotomization ,/n./@二分;
differentiation ,/n./@區分;,/n./@區別;,/n./@微分;
distinguishable ,/adj./@可辨别的;
electrochromism ,/n./@電致色變;,/n./@電致變色;
electromagnetic ,/adj./@電磁的;,/adj./@電磁體的;
experimentation ,/n./@试验;
familiarization ,/n./@熟悉;,/n./@通曉;,/n./@普及;
hypoproteinemia ,/n./@低蛋白血症;
interchangeable ,/adj./@可交換的;,/adj./@可交替的;
methamphetamine ,/n./@甲基苯丙胺;,/n./@脫氧麻黃鹼;,/n./@甲基安非他命;
neuroplasticity ,/n./@神經可塑性;
notwithstanding ,/adv./@尽管如此;,/adv./@即使这样;
perspectiveness ,/n./@前瞻性;
straightforward ,/adj./@直爽的;,/adj./@徑直的;,/adj./@直截了當的;,/adj./@簡單的;,/adj./@明確的;
synchronization ,/n./@同步;
