Ascension ,/n./@升天;
Aristotle ,/n./@亞里士多德;,/n./@亞里斯多德;
Excalibur ,/n./@神劍;,/n./@聖劍;
Eucharist ,/n./@聖餐;,/n./@聖體;
Maranatha ,/n./@瑪拉拿他;,/n./@主必要來;
balaclava ,/n./@巴拉克拉瓦盔式帽;
catamaran ,/n./@雙體船;
adherence ,/n./@信奉;,/n./@堅持;,/n./@堅守;,/n./@固執;,/n./@依附;,/n./@遵守;,/n./@遵循;,/n./@信守;,/n./@黏附;
advantage ,/n./@优点;
aggregate ,/v./@集合;
aggravate ,/v./@加重;,/v./@惡化;
alternate ,/v./@交替;
amazement ,/n./@驚奇;,/n./@詫異;
palatable ,/adj./@美味的;,/adj./@可口的;
appendage ,/n./@附加物;,/n./@附屬物;,/n./@附屬器官;,/n./@附屬肢體;
parameter ,/n./@參數;,/n./@參量;
stalemate ,/n./@僵局;,/n./@困境;
avalanche ,/n./@雪崩;,/n./@山崩;,/n./@大批;
ballerina ,/n./@芭蕾舞女演員;
acceptive ,/adj./@易接纳的;
careerist ,/n./@野心家;,/n./@事业狂;
adjective ,/n./@形容词;
adverbial ,/n./@狀語;,/adj./@副詞的;
advertise ,/v./@做广告;
magnetize ,/vt./@磁化;,/vt./@吸引;
analgesic ,/n./@鎮痛劑;
appealing ,/adj./@有吸引力的;
paramedic ,/n./@醫務護理人員;,/n./@醫務輔助人員;
apathetic ,/adj./@冷漠的;
rasterize ,/vt./@光柵化;,/vt./@像素化;
assertive ,/adj./@自信的;
stateside ,/adj./@在美国的;,/adv./@在美国;,/adv./@向美国;
aesthetic ,/adj./@美学的;,/adj./@審美的;
tangerine ,/n./@橘子;
attentive ,/adj./@注意的;,/adj./@留意的;
ascension ,/n./@上升;,/n./@升高;,/redirected./@target="Ascension";
aspersion ,/n./@誹謗;
assertion ,/n./@斷言;,/n./@聲明;,/n./@主張;,/n./@堅持;,/n./@要求;
attention ,/n./@注意;
bacterium ,/n./@細菌;
magnesium ,/n./@鎂;
afternoon ,/n./@下午;
scapegoat ,/n./@替罪羊;,/n./@替罪者;
dangerous ,/adj./@危险的;
marvelous ,/adj./@了不起的;,/adj./@非凡的;,/adj./@令人惊异的;,/adj./@不平常的;
adventure ,/n./@冒险;
pansexual ,/adj./@泛性的;
mannequin ,/n./@人体模型;
Calabrian ,/n./@卡拉布里亞人;,/adj./@卡拉布里亞的;,/adj./@卡拉布里亞人的;
affidavit ,/n./@宣誓書;,/n./@口供書;
katabatic ,/adj./@下降的;,/adj./@下吹的;
amphibian ,/n./@兩棲動物;,/adj./@兩棲類的;
appraisal ,/v./@评价;
parasitic ,/redirected./@target="parasitical";
assailant ,/n./@襲擊者;,/adj./@襲擊的;,/adj./@攻擊的;
satirical ,/adj./@諷刺的;
avatarism ,/n./@化身主義;
barricade ,/n./@路障;,/n./@街壘;,/vt./@堵住;
calibrate ,/v./@矯正;
acclimate ,/v./@使適應;
caliphate ,/n./@伊斯蘭王權;,/n./@阿拉伯帝國;
captivate ,/v./@迷住;
cartilage ,/n./@軟骨;
addictive ,/adj./@上瘾的;
admirable ,/adj./@令人欽佩的;
fabricate ,/v./@製作;,/v./@捏造;
fascinate ,/v./@吸引;
galvanize ,/v./@刺激;,/vt./@鍍鋅;
margarine ,/n./@人造黃油;,/n./@人造奶油;
matricide ,/n./@弑母;
appliance ,/n./@装置;,/n./@应用;
partitive ,/adj./@表示部分的;,/n./@表示部分的句法結構;
patricide ,/n./@杀父;
arbitrate ,/v./@仲裁;,/v./@公斷;
sacrifice ,/n./@牺牲;
satisfied ,/adj./@感到滿意的;
tantalize ,/vt./@逗惹;,/vt./@折磨;,/vt./@撩撥;
vaccinate ,/v./@注射疫苗;
vandalize ,/vt./@蓄意破坏;,/vt./@故意破壞;
manifesto ,/n./@宣言;
addiction ,/n./@成瘾;
gladiator ,/n./@格鬥者;,/n./@角斗士;
gazillion ,/n./@龐大的數字;,/n./@億萬;
kazillion ,/redirected./@target="gazillion";
alligator ,/n./@短吻鱷;
animosity ,/n./@敵意;,/n./@仇恨;,/n./@憎惡;
partition ,/n./@分隔;,/n./@划分;,/n./@隔开;
radiogram ,/n./@無線電報;,/n./@收音電唱機;
radiology ,/n./@放射學;
armadillo ,/n./@犰狳;
salvation ,/n./@拯救;
tradition ,/n./@传统;,/n./@惯例;
attrition ,/n./@消耗;
capitulum ,/n./@章節;,/n./@篇;
ambiguity ,/n./@歧義;,/n./@意義不明;,/n./@模稜兩可;
antiquity ,/n./@古代;,/n./@古迹;,/n./@古物;,/n./@古老;
radicular ,/adj./@神經根性的;,/adj./@神經根部的;
admixture ,/n./@混合物;,/n./@攙雜物;,/n./@添加物;,/n./@附加物;
gratitude ,/n./@感激;,/n./@感谢;
magnitude ,/n./@宏大;,/n./@重要;,/n./@量級;,/n./@大小;,/n./@震級;
amplitude ,/n./@振幅;
platitude ,/n./@单调;,/n./@陳詞濫調;,/n./@老生常談;,/n./@陳腐的話;
attribute ,/n./@属性;,/n./@特质;
abandoned ,/adj./@被抛弃的;
barometer ,/n./@气压计;
halloween ,/n./@諸聖日;
allocated ,/adj./@分配的;
allowance ,/n./@津贴;
anchorage ,/n./@停泊;,/n./@下錨;,/n./@錨地;,/n./@泊地;
annotated ,/adj./@有註釋的;
patronage ,/n./@贊助;,/n./@資助;,/n./@保護人身份;
arrogance ,/n./@傲慢;,/n./@自大;
atonement ,/n./@贖罪;,/n./@補償;
abdominal ,/adj./@腹部的;
canonical ,/adj./@權威的;,/adj./@規範的;,/adj./@標準的;,/adj./@典型的;
accordion ,/n./@手風琴;
catatonic ,/adj./@緊張性精神癥的;
draconian ,/adj./@嚴苛的;,/adj./@苛刻的;,/adj./@嚴酷的;,/adj./@嚴厲的;,/adj./@嚴格的;,/adj./@殘酷的;
alcoholic ,/adj./@酒精的;
pharaonic ,/adj./@法老的;,/adj./@法老時代的;
panoramic ,/adj./@全景的;,/adj./@概括的;
parabolic ,/adj./@抛物线的;
parochial ,/adj./@教區的;,/adj./@狹小的;,/adj./@地方範圍的;
taxonomic ,/n./@分類法;,/n./@分類學;,/adj./@分類的;
alongside ,/prep./@在旁边;,/adv./@在旁边;
pantomime ,/n./@啞劇;,/n./@圣诞童话剧;
patronize ,/v./@保護;
barbarous ,/adj./@野蠻的;,/adj./@粗野的;,/adj./@殘暴的;,/adj./@未開化的;,/adj./@原始的;,/adj./@無文化的;,/adj./@粗鄙的;,/adj./@粗俗的;
hazardous ,/adj./@冒险的;,/adj./@有危险的;
amorphous ,/adj./@無固定形狀的;
anonymous ,/adj./@匿名的;
paramount ,/adj./@首要的;,/adj./@至高無上的;
synagogue ,/n./@犹太教堂;
apparatus ,/n./@装置;,/n./@设备;
chauffeur ,/n./@司機;
calculate ,/v./@计算;
adumbrate ,/v./@透露;
ambulance ,/n./@救护车;,/n./@野戰醫院;
amusement ,/n./@娱乐;,/n./@樂趣;,/n./@消遣;
parachute ,/n./@降落傘;
assurance ,/n./@保证;,/n./@确信;
authentic ,/adj./@真正的;,/adj./@真實的;,/adj./@可靠的;,/adj./@真實可信的;
Mancunian ,/n./@曼徹斯特人;,/n./@曼徹斯特方言;,/adj./@曼徹斯特的;,/adj./@曼徹斯特人的;
causality ,/n./@因果關係;,/n./@因果性;
palanquin ,/n./@轎子;,/n./@肩輿;
masculine ,/adj./@男性的;,/adj./@陽性的;,/adj./@男子氣概的;,/n./@男性;,/n./@陽性;
plausible ,/adj./@似有道理的;
adulthood ,/n./@成年;
garrulous ,/adj./@嘮叨的;,/adj./@喋喋不休的;
autocracy ,/n./@獨裁;
autograph ,/v./@親筆;
authority ,/n./@权威;
elsewhere ,/adv./@在别处;
emergence ,/n./@出现;,/n./@現身;,/n./@顯露;,/n./@嶄露頭角;,/n./@形成;,/n./@浮現;,/n./@脫繭;,/n./@羽化;
reference ,/n./@参考;,/n./@推薦;,/n./@調用;
seventeen ,/adj./@十七;
vehemence ,/n./@熱情;
celebrate ,/v./@庆祝;
clearance ,/n./@清除;
decadence ,/n./@堕落;
deprecate ,/v./@反对;,/v./@抨击;
desecrate ,/vt./@褻瀆;,/vt./@把神物供俗用;
desperate ,/adj./@绝望的;
devastate ,/v./@毀滅;,/v./@毀壞;
freelance ,/n./@自由作家;,/n./@自由记者;
elemental ,/adj./@自然力的;,/adj./@基本的;,/adj./@原始的;,/adj./@強大的;,/adj./@元素的;
ephemeral ,/adj./@短暫的;,/adj./@朝生暮死的;
penetrate ,/v./@渗透;,/v./@穿透;,/v./@貫穿;
rehearsal ,/n./@排練;,/n./@彩排;
segregate ,/v./@隔離;,/v./@分離;
severance ,/n./@解雇;,/n./@割断;,/n./@切断;,/n./@断绝;
vegetable ,/n./@蔬菜;,/n./@植物;,/adj./@蔬菜的;,/adj./@植物的;
vengeance ,/n./@报复;,/n./@复仇;
meanwhile ,/adv./@同时;
emphasize ,/v./@強調;,/v./@著重;
entertain ,/v./使@娱乐;
eparchial ,/adj./@主教管區的;
pervasive ,/adj./@普遍的;,/adj./@流行的;
realistic ,/adj./@逼真的;,/adj./@实际的;
remainder ,/n./@剩餘物;,/n./@餘數;,/v./@廉價出售;,/adj./@剩餘的;
remaining ,/adj./@剩餘的;,/adj./@剩下的;
tentative ,/adj./@試探性的;,/adj./@試驗性的;,/adj./@暫時性的;,/adj./@嘗試性的;
versatile ,/adj./@多功能的;,/adj./@多才多藝的;,/adj./@多用途的;,/adj./@多種用途的;,/adj./@隨機應變的;,/adj./@多方面適用的;,/adj./@萬用的;
weariness ,/n./@疲倦;
expansive ,/adj./@广阔的;
deflation ,/n./@紧缩;
predation ,/n./@掠食;,/n./@掠奪;
sensation ,/n./@感觉;,/n./@轰动;,/n./@知觉;,/n./@直觉;
expansion ,/n./@扩张;,/n./@膨胀;,/n./@阐述;
megaphone ,/n./@擴音器;,/n./@話筒;
methadone ,/n./@美沙酮;
